userName,score,at,content
Pengguna Google,5,2026-04-20 17:13:56,good job😍😘
Pengguna Google,5,2026-04-20 17:11:14,keren banget min
Pengguna Google,1,2026-04-20 17:10:10,"aktifinn fitur gopay later saya dong , gimana deh ? maasa udh 2 tahun ga bisa di aktifin lagi"
Pengguna Google,5,2026-04-20 17:05:16,mantap gojek
Pengguna Google,5,2026-04-20 16:39:49,"cepat, tepat, bersih, sopan, salam, sopan,santun, murah"
Pengguna Google,4,2026-04-20 16:39:45,"sangat membantu sekali apalagi klo urgency pergi"" mendadak pas gk ada motor"
Pengguna Google,5,2026-04-20 16:36:26,driver ramah
Pengguna Google,5,2026-04-20 16:27:45,sangat memuaskan
Pengguna Google,1,2026-04-20 16:25:48,driver mobil nya pada ga mau ambil penumpang dengan alesan Krn kejauhan...
Pengguna Google,5,2026-04-20 16:23:16,bguus
Pengguna Google,5,2026-04-20 16:21:47,"pertama kali pesen gojek, masih belibet"
Pengguna Google,5,2026-04-20 16:13:14,good
Pengguna Google,2,2026-04-20 16:06:46,"gopay later buat bayar listrik biasanya sekali foto langsung bisa, ini sampe 3x gagal teross, waktu masuk lagi, malah dibilang ""kesalahan data"" dan gak bisa dipake lagi sampe 1x24jam, tambah lama tambah ribet, padahal dulu juga gak pake foto aman2 aja, dan gak pernah telat bayar."
Pengguna Google,5,2026-04-20 16:03:32,pelayanan oke dan senang nyampe dg selamat
Pengguna Google,5,2026-04-20 16:03:32,"untuk layanan gofood, pada saat mrk tidak punya cukup uang, seringkali mrk minta pemberi order melalukan cancel orderan. Padahal setahu sy gojek telah menerapkan sistem pembelian makanan gofood maksimal Rp.1 jt. Sering di angka orderan rp.300 ribu, mrk minta sy cancel orderannya dengan alasan uang mrk tdk cukup. Lantas kenapa bukan mrk saja yg cancel orderannya? Krn kan sy harus tulis ulang apa saja pesanan sy kalau sy yg cancel."
Pengguna Google,5,2026-04-20 15:55:20,sangat membantu
Pengguna Google,5,2026-04-20 15:46:52,"Banyakin lg ya promonya,biar ak lebih betah pesan di Gojek thx"
Pengguna Google,3,2026-04-20 15:44:17,top
Pengguna Google,3,2026-04-20 15:28:49,"kok gojek dh jlek yh skrg, dpt driver lm btul, plih"" pula"
Pengguna Google,5,2026-04-20 15:20:35,oke saya selalu memilih gojek untuk angkutan saya
Pengguna Google,5,2026-04-20 15:18:30,mantap
Pengguna Google,5,2026-04-20 15:17:55,"aman. harga terjangkau.. proses cepat,"
Pengguna Google,2,2026-04-20 15:13:45,"hari ini kali kedua saya dibohongi oleh driver , sudah diorder dan driver menyatakan kesediaan menjemput tapi setelah ditunggu pada waktu yang telah disepakati malah tidak dijemput padahal terpantau driver bergerak namun itu hanya settingan trik murahan oknum driver yang malas menjemput tapi mengharapkan pembatalan demi uang 3k, sangat disayangkan demi uang segitu menghalalkan sgl cara, rendah banget adabnya, tlg pihak gojek menertibkan para driver nakal , terimakasih"
Pengguna Google,5,2026-04-20 14:59:15,👍
Pengguna Google,5,2026-04-20 14:58:49,susah dapet driver mending shopee fodd
Pengguna Google,5,2026-04-20 14:54:23,mantappp
Pengguna Google,5,2026-04-20 14:46:11,sangat bermanfaat
Pengguna Google,4,2026-04-20 14:42:24,"saran, buat gojek cantumkan alasan dong kenapa orderan saya di cancel kalo gofood dan siapa yang nge cancel.... kan saya udah lama nunggu yak, ternyata malah di cancel 😞"
Pengguna Google,4,2026-04-20 14:40:50,oke mantap
Pengguna Google,5,2026-04-20 14:39:38,driver baik
Pengguna Google,1,2026-04-20 14:30:44,jgn terlalu mahal
Pengguna Google,1,2026-04-20 14:29:58,"Jek jek orderan pelanggan lu d tahan gmn driver mau jalanin orderan, semakin lu lama nahannnya ujung2nya mesen apk sebelah, itu kostumer klo buru2 gmn? dulu food nahan orderan d taro d slot sekarang go ride, adeh2 jek jek argo lu itu udh kelewat murah gk ush neko2 dah go ride mau d slot in, yg jd masalah bukan slotnya sistem lu benerin dulu klo jemput msh jauh, tupo gk ada, argo murah, yg d terima driver udh potongan gede tambah bayar orderan slot gile aje....."
Pengguna Google,1,2026-04-20 14:28:19,"Jek jek orderan pelanggan lu d tahan gmn driver mau jalanin orderan, semakin lu lama nahannnya ujung2nya mesen apk sebelah, itu kostumer klo buru2 gmn? dulu food nahan orderan d taro d slot sekarang go ride, adeh2 jek jek argo lu itu udh kelewat murah gk ush neko2 dah go ride mau d slot in, yg jd masalah bukan slotnya sistem lu benerin dulu klo jemput msh jauh, tupo gk ada, argo murah, yg d terima driver udh potongan gede tambah bayar orderan slot gile aje....."
Pengguna Google,1,2026-04-20 14:25:22,"Jek jek orderan pelanggan lu d tahan gmn driver mau jalanin orderan, semakin lu lama nahannnya ujung2nya mesen apk sebelah, itu kostumer klo buru2 gmn? dulu food nahan orderan d taro d slot sekarang go ride, adeh2 jek jek argo lu itu udh kelewat murah gk ush neko2 dah go ride mau d slot in, yg jd masalah bukan slotnya sistem lu benerin dulu klo jemput msh jauh, tupo gk ada, argo murah, yg d terima driver udh potongan gede tambah bayar orderan slot gile aje....."
Pengguna Google,5,2026-04-20 14:22:18,mantab
Pengguna Google,1,2026-04-20 14:19:51,stiap pesan GK prnh dpt 🤦🤦
Pengguna Google,5,2026-04-20 14:06:38,Bagus cepat dapat menghemat waktu
Pengguna Google,5,2026-04-20 14:06:07,amaaaan
Pengguna Google,1,2026-04-20 14:00:55,sangat tidak rekomendasi buat jadi usaha sampingan
Pengguna Google,1,2026-04-20 13:48:11,"Saya Lupa bayar, baru telat 1 hari sudah di kejar seperti teroris..."
Pengguna Google,5,2026-04-20 13:47:21,driver sangat ramah
Pengguna Google,5,2026-04-20 13:46:17,"ya enak aja, tinggal duduk sampai tujuan"
Pengguna Google,1,2026-04-20 13:40:44,Ini terakhir gw pake apk ini.. Mengecewakan susah banget dapat pengemudi. Padahal di depan mata banyak banget pengemudi 😡
Pengguna Google,5,2026-04-20 13:40:19,"aplikasi nya mudah di gunakan, simple dan lengkap"
Pengguna Google,5,2026-04-20 13:39:52,"selama pake gojek bagus aja kok, pelayanan nya driver nya jg ramah"""
Pengguna Google,1,2026-04-20 13:35:34,BOBROK
Pengguna Google,5,2026-04-20 13:27:30,Satu aplikasi yang paling bagus banget saya suka belanja dan pergi kemana saja.
Pengguna Google,5,2026-04-20 13:26:33,mantap
Pengguna Google,3,2026-04-20 13:22:52,"shock breaker banyak yg mati , jarak jauh pinggang sakit semua."
Pengguna Google,5,2026-04-20 13:18:45,memudahkan segala urusan
Pengguna Google,5,2026-04-20 13:15:53,baik
Pengguna Google,5,2026-04-20 13:03:38,saya selama memakai jasa gopood tidak pernah kecewa👍🏻
Pengguna Google,5,2026-04-20 12:59:21,gojek keren banget
Pengguna Google,5,2026-04-20 12:52:55,Luarbiasa
Pengguna Google,1,2026-04-20 12:50:43,MAB gojek dan gopay gak amanah pengembalian dana tidak di lakukan
Pengguna Google,4,2026-04-20 12:37:09,"aplikasi ini sangatt membantu saya kapanpun dan dimanapunn, meski kdang dpat driver yg diemm terus sepanjang jalan, but it's okeyy."
Pengguna Google,5,2026-04-20 12:34:31,amanah
Pengguna Google,5,2026-04-20 12:24:03,ok
Pengguna Google,5,2026-04-20 12:05:14,y bagus
Pengguna Google,5,2026-04-20 11:59:39,mantul
Pengguna Google,5,2026-04-20 11:47:26,"sangat membantu utk transportasi sy,harga jg bersahabat"
Pengguna Google,5,2026-04-20 11:45:52,oke sangat membantu
Pengguna Google,5,2026-04-20 11:32:21,cepat tepat
Pengguna Google,1,2026-04-20 11:21:18,gojek ongkir mahal dan anter lama Hi guys muda mudi ibu hot ibu muda dan anak-anak yuk ramaikan city plaza mall kita Bumi tangerang barat. murah murah tiap senin sampai Jumat pagi siang hari kalo malam sama sabtu minggu mahal guys.ada bioskop🎦🎬🎥 ada tempat superindo hokben bermain🎮 👶anak dan tempat selingkuh seruu eh kalo parkir🅿 motor sebelah pintu masuk city plaza mall murah 3000 masuk ke gapura warna ungu jangan parkir motor di dalam mall mahal ribet pake STNK
Pengguna Google,5,2026-04-20 11:20:56,bagus ramah baik
Pengguna Google,5,2026-04-20 10:56:32,mantap
Pengguna Google,4,2026-04-20 10:49:50,"saya kasih bintang 4 karena kemaren saya pesen go car . dan dpt driver . tari bin banda . plat B1271EFR. dan driver ini omonganya gk karuan. ngmong t...l, gb...g dll. saya pesen dari kali dere ke kosambi dg ongkos 115.di tengah perjalan omonganya langsung keluar smua. dn dia langsung minta cancel gojek, di situ. takut di kasih bintang 1 kali😁 , tapi masih dri pda ricuh ikiti sja keinginanya. alhamdulillah ttp di anter smpe lok tjuan cm posisi sdh di cancel. cm berbagi pengalaman smga gk smua"
Pengguna Google,5,2026-04-20 10:24:35,sy cuma memberi bintang untuk pertama kali sama gojek
Pengguna Google,1,2026-04-20 10:22:27,"skrng lama bgt dpt drivernya kalau pesen gofood pake pengiriman biasa. giliran pake yg instan langsung dpt driver. sorry mau ganti aja pake shopeefood, murah, banyak promo, cepet, gesit!"
Pengguna Google,5,2026-04-20 10:04:56,top dah
Pengguna Google,5,2026-04-20 10:03:26,mantrab
Pengguna Google,5,2026-04-20 09:58:01,terima kasih
Pengguna Google,3,2026-04-20 09:56:39,saya pengguna setia gojek...cm akhir2 ini setiap pesen gojek searching driver selalu lama dan dpt driver yg jauh....pdhl d sekitar saya byk driver yg dekat...jd waktu saya aga terbuang percuma.... mohon diperhatikan.... terimakasih.... tambah lg skrg kl pesan gofood dpt driver nya jg lama bgt menghabiskan waktu makan siang saya
Pengguna Google,5,2026-04-20 09:47:26,drivernya gercep. titik lokasi cocok. promonya mantap
Pengguna Google,5,2026-04-20 09:47:09,langganan setia
Pengguna Google,5,2026-04-20 09:38:21,💓💓
Pengguna Google,5,2026-04-20 09:22:31,"suka, aku anak sekolah jadi suka pake harga 7rb, walaupun harga nya 7rb tapi tetap profesional"
Pengguna Google,5,2026-04-20 09:12:49,alhamdulillah cepat dan ramah 👍
Pengguna Google,5,2026-04-20 08:56:19,option pilihan layanan nya sangat membantu
Pengguna Google,5,2026-04-20 08:54:25,keren
Pengguna Google,3,2026-04-20 08:52:29,"demi apapunnn, gak bisa chat driver. pas chat ceklis 1 aja atau malah gak kekirim samsek. di tambah lemot, dan sering di kasih driver yang jauh2 jadi sering di cancel."
Pengguna Google,5,2026-04-20 08:44:32,Cukup baik
Pengguna Google,5,2026-04-20 08:21:20,Sangat membantu banyak keperluan
Pengguna Google,5,2026-04-20 08:16:54,bagus
Pengguna Google,5,2026-04-20 08:16:45,sukses selalu
Pengguna Google,5,2026-04-20 08:15:55,pelayanan nya baik
Pengguna Google,5,2026-04-20 08:08:02,mantap
Pengguna Google,5,2026-04-20 08:06:48,sangat muda dan gampang di akses.
Pengguna Google,5,2026-04-20 08:05:24,Akun saya gk bisa di pakai
Pengguna Google,5,2026-04-20 07:55:52,mempermudah perjalanan
Pengguna Google,1,2026-04-20 07:46:09,"jelek aplikasi nya,apk gojek kalo ke daerah yang agak pelosok gamau mereka,maunya yang kota harga mahal,giliran harga murah mah gamau apk gojek ma padahal kan harga dari sana nya👎👎👎👎"
Pengguna Google,5,2026-04-20 07:26:09,ramah
Pengguna Google,4,2026-04-20 07:06:33,selama ini merasa puas bget
Pengguna Google,5,2026-04-20 07:05:34,senang pake banget
Pengguna Google,5,2026-04-20 07:01:59,cepat akurat
Pengguna Google,5,2026-04-20 06:26:22,sangat membantu terimakasih
Pengguna Google,5,2026-04-20 06:22:14,mantap 👍👍👍
Pengguna Google,3,2026-04-20 06:17:44,"bagus sih, tapi sayang nya setiap saya pesen gojek selalu ga ada yg dapat... saya bhkan jdi kdng' g masuk sekolah krna ini.."
Pengguna Google,4,2026-04-20 06:08:22,good
Pengguna Google,5,2026-04-20 05:59:52,full service
Pengguna Google,5,2026-04-20 05:32:29,mantul tul tul tul
Pengguna Google,1,2026-04-20 05:26:20,Sekarang kode promo motor dan mobil tidak bisa
Pengguna Google,5,2026-04-20 04:43:47,ok
Pengguna Google,1,2026-04-20 03:46:42,tiba tiba saldo kepotong anding emang
Pengguna Google,5,2026-04-20 02:14:53,jos
Pengguna Google,1,2026-04-20 02:02:30,"akun bagus malah susah mendapatkan order, aneh"
Pengguna Google,5,2026-04-20 01:49:23,muantap buanget
Pengguna Google,2,2026-04-20 01:01:02,susah kali dapat drivernya baik buat gofood ataupun goride ditambah setiap mau klaim koin gopay nggak pernah masuk
Pengguna Google,4,2026-04-20 00:41:05,kapan kok gojek belom ada dark mode nya lama bgt ada fitur dark mode nya harus nunggu brapa lama lagi terima kasih sudah sering di-update ke versi paling terbaru tetap saja dark mode nya belom tersedia lebih di tingkatkan lagi gercep dalam merubah tampilan gojek ada fitur dark mode nya
Pengguna Google,1,2026-04-20 00:30:09,kalo ada problem susah di hubunginya
Pengguna Google,3,2026-04-20 00:21:16,ok
Pengguna Google,4,2026-04-19 23:51:00,oklah
Pengguna Google,5,2026-04-19 23:40:06,pengiriman cepat
Pengguna Google,5,2026-04-19 23:33:15,saya sangat senang jadi bagian dari mitra gojek
Pengguna Google,1,2026-04-19 23:12:28,"mesan gofood, kelamaan ga dapat driver malah ga bisa batalin, 1 jam setengah nungguin. perbaiki lagi fiturnya"
Pengguna Google,5,2026-04-19 22:47:28,Sangat Bagus 👍
Pengguna Google,5,2026-04-19 22:34:02,sopan tepat waktu
Pengguna Google,5,2026-04-19 22:10:41,"saya bahagia, bisa makan"
Pengguna Google,5,2026-04-19 21:56:01,gojek mntapp
Pengguna Google,4,2026-04-19 21:44:04,baguts
Pengguna Google,5,2026-04-19 21:15:53,mantul
Pengguna Google,3,2026-04-19 21:12:10,"belum bisa ngasih bintang lima,karena setiap menggunakan goride hemat sering dan bahkan tidak pernah mendapatkan drivernya,dan malah tidak ada sama sekali, tolong lah... kedepannya lebih baik lagi,tapi jangan ada update update lagi yah... karena hp saya hp kentang... kenapa yah, setiap jam 21:00 WIB gak pernah ada driver yang mau nganterin... padahal kan kepingin juga jalan malam malam... lain kali jangan begitu dong"
Pengguna Google,1,2026-04-19 21:03:38,"Sekarang pesan Gofood sulit dapat Driver,, bukannya makin baik, malah makin parah.."
Pengguna Google,5,2026-04-19 21:02:00,"beberapa waktu lalu sering kecewa,tapi sekarang banyak perubahan. .!! semakin menyenangkan menggunakan layanan gojek"
Pengguna Google,1,2026-04-19 20:59:55,"gak mau lagi pakai aplikasi gojek,apa lagi buat pesan Drive,kaya udh kaya aja semua gara gara harga 18 ribu g mau ambil pesanan lol"
Pengguna Google,1,2026-04-19 20:36:39,susah dapet driver padahal udah yg prioritas
Pengguna Google,1,2026-04-19 20:36:11,"mulai benahin aplikasinya deh, pesen selalu paling cepet. tapi berkali kali susah dapet driver. diganti terus drivernya berkali kali. tapi gaada kompensasi berarti dari aplikator. jengah rasanya"
Pengguna Google,5,2026-04-19 20:25:35,banya promo nya
Pengguna Google,5,2026-04-19 20:25:31,sangat menyenangkan setiap saat
Pengguna Google,3,2026-04-19 20:21:58,saat ini susah sekali dapat driver
Pengguna Google,5,2026-04-19 19:59:59,mantap
Pengguna Google,5,2026-04-19 19:58:21,mantap
Pengguna Google,5,2026-04-19 19:57:59,gojek tiada duanya. Mantap !
Pengguna Google,1,2026-04-19 19:53:45,"MAKIN PARAH, SAMPE PAKE PRIORITAS PUN SEJAM BELUM DAPAT JUGA GPJEK NYA PADAHAL DIKOTA BUKAN DI HUTAN"
Pengguna Google,5,2026-04-19 19:51:42,BAGUS SICH WALAUPUN kalau pakai gocar agak lama dapat driver tapi kalau mesan makanan itu terjamin cepatnya ngk nunggu sampai 1 jam lebih cepat dia walaupun reguler.Semua itu ada plus minus nya tapi gojek tetap tercintaa
Pengguna Google,1,2026-04-19 19:51:13,"driver suka cancel sendiri, ga jawab chat"
Pengguna Google,5,2026-04-19 19:47:17,mantap
Pengguna Google,5,2026-04-19 19:44:43,mantap
Pengguna Google,3,2026-04-19 19:30:34,"bagus cuman suka ngebug, seperti saya waktu itu pesen 1 gojek tapi yg datang malah ada tiga"
Pengguna Google,5,2026-04-19 19:23:21,pelayanan gojek sangat bagus
Pengguna Google,5,2026-04-19 19:07:27,so far membantu
Pengguna Google,1,2026-04-19 19:02:51,"selalu lama mendapatkan gocar dan driver gocar tidak bisa dikomunikasi kan chat selalu tidak dibalas kalau memang tidak bisa tinggal bilang jd saya cancel menunggu lama chat tdk dibalas ujung""nya suruh cancel"
Pengguna Google,2,2026-04-19 18:51:46,"kecewaaa banget sama gojek, dlu klo order makanan lewat tunai lancar aja, sekarang hampir 1 jam gada gojek mau nerima, pokoknya kesel banget sama gojek sekarang udh laperr nungguin lama taunya ke gtu, padahal dlu bagus' aja"
Pengguna Google,5,2026-04-19 18:50:29,cukup membantu
Pengguna Google,5,2026-04-19 18:48:20,"aplikasinya sangat membantu..kalo kita pas kerepotan, tinggal gas.."
Pengguna Google,5,2026-04-19 18:37:33,mantap
Pengguna Google,3,2026-04-19 18:32:55,"Pengiriman murah gak bisa dipake kalo belum jam 9 atau banyak pembeli, padahal jadi mahal di ongkir"
Pengguna Google,4,2026-04-19 18:29:48,mntap
Pengguna Google,1,2026-04-19 18:15:38,"mau kirim barang lewat gosend lama banget nunggu dapet drivernya, ada kali 2 jam."
Pengguna Google,3,2026-04-19 18:14:42,"please fix yur bugs on change payment fiture, because I cannot change to be gopay from cash"
Pengguna Google,5,2026-04-19 18:14:23,bapaknya baik banget mau nungguin
Pengguna Google,1,2026-04-19 17:55:08,"Goride hemat bikin miris..pelanggan2 yg mapan aja udh gak malu pake hemat..klo anak sekolah/pelajar ,karyawan di bawah umk ,mahasiswa mash gw maklumin.! Tp klo org2 yg udh bergaya exlusive mobil ngejogrog,keluar makan di cafe mahal...lah giliran ngojeg pake hemat..cih !! gak malu apa lu ?? lu tau gak itu ongkos hemat driver yg bayarin 20% nya.."
Pengguna Google,5,2026-04-19 17:45:31,okey
Pengguna Google,1,2026-04-19 17:41:35,saya tidak bisa masuk karna email yang saya daftarkan sudah tidak dapat sya gunakan
Pengguna Google,5,2026-04-19 17:36:58,mantap
Pengguna Google,3,2026-04-19 16:55:29,sinyal dari penumpang ke driver kurang sesuai.tolong pihak aplikasi di perkuat lagi sinyalnya agar penumpang cepat dapat driver.
Pengguna Google,1,2026-04-19 16:50:24,Diskonnya hilang
Pengguna Google,5,2026-04-19 16:40:55,sangat membantu apa lagi ada promo trus 😀
Pengguna Google,5,2026-04-19 16:30:58,aplikasi yg okeh
Pengguna Google,4,2026-04-19 16:23:28,kenapa gojek saya tidak bisa beli tiket krl
Pengguna Google,3,2026-04-19 16:20:53,kalaw bisa di pisah tampilan aplikasi gojek dan gopay.. karna jadi makin ribet tampilan ny
Pengguna Google,5,2026-04-19 16:20:47,ok
Pengguna Google,5,2026-04-19 15:56:17,mantap
Pengguna Google,1,2026-04-19 15:53:44,parah driver 2 x ganti driver ga ada respon sama sekali
Pengguna Google,2,2026-04-19 15:53:04,sekarang pesen gofood pengantaran hemat driver ga ada yang mau ambil🙁
Pengguna Google,5,2026-04-19 15:43:47,mapsnya tidak update 🙏
Pengguna Google,1,2026-04-19 15:43:10,"susah banget dapat driver, pesan gofood sampai nunggu 2 jam tetap aja gak dapat driver. makin lama semakin banyak tingkah driver gojek ini, milih2 ambil orderan. sekalinya dapat di cancel, mungkin karena tau ongkirnya dapat cuma sedikit! MENGECEWAKAN!"
Pengguna Google,5,2026-04-19 15:35:53,"pesen go food pasti ongkir nya sama dengan harga makanan ,2x lipat nya"
Pengguna Google,5,2026-04-19 15:29:07,pelayanan oke
Pengguna Google,1,2026-04-19 14:56:17,apk jelek
Pengguna Google,2,2026-04-19 14:55:46,"Fitur + saat chat driver kemana??? kan mau kasih foto lokasinya, kok gak ada?? gak oenting ya???"
Pengguna Google,1,2026-04-19 14:55:44,"TOLONG UNTUK GOFOOD DIPERBAIKI LAGI UNTUK WAKTU ESTIMASI. JANGAN SAMPAI NUNGGU 1 JAM BARU BOLEH MEMBATALKAN, LU PIKIR YANG MESAN GOFOOD PADA UDAH KENYANG ?. TIRU SHOOPE FOOD YANG BISA BATALKAN PESANAN DALAM WAKTU 12 MNT."
Pengguna Google,1,2026-04-19 14:54:42,terpencet gofood lansung gk bisa di batalkan
Pengguna Google,5,2026-04-19 14:42:53,bikin susah sering logout
Pengguna Google,5,2026-04-19 14:40:04,"app yang memudahkan untuk kesana kemari, saya sangat suka"
Pengguna Google,5,2026-04-19 14:28:21,nyoba
Pengguna Google,5,2026-04-19 14:19:44,perjalanan kita butuh lebih cepat dan murah
Pengguna Google,5,2026-04-19 14:13:44,Mantab jiwa
Pengguna Google,5,2026-04-19 14:12:44,"nyaman , cepat , ramah & sabar"
Pengguna Google,5,2026-04-19 13:56:01,puas
Pengguna Google,5,2026-04-19 13:49:14,bagus appspunya Indonesia
Pengguna Google,5,2026-04-19 13:41:12,good
Pengguna Google,5,2026-04-19 13:19:33,mantap
Pengguna Google,1,2026-04-19 13:19:11,"banyak driver pada males jemput. rata² semua driver chat ""kalau pesan jangan pilih HEMAT"" GILA emang, jelas² di aplikasinya ada opsi pilihan ""hemat"" ya otomatis bakal bisa dipilih lah, kalo gak mau dipesen hemat demonya ke perusahaan dong jangan ke customer!! ngebuang² waktu buat nunggu lamaaaa bisa sampe 1 jam lebih. dan minta customer buat cancel tapi mereka gak mau langsung cancel! btw case ini kebanyakan di area Jogja"
Pengguna Google,5,2026-04-19 13:18:02,pelayanan nya keren
Pengguna Google,1,2026-04-19 13:10:13,"opsi order searah nggak guna, sistemnya memerah driver"
Pengguna Google,5,2026-04-19 13:06:56,bisa diminta ngebut drivernya
Pengguna Google,5,2026-04-19 12:50:36,aman
Pengguna Google,5,2026-04-19 12:50:31,oke
Pengguna Google,1,2026-04-19 12:48:47,drivernya oon . masak gak tau pake google maps
Pengguna Google,1,2026-04-19 12:45:23,kuranng respon
Pengguna Google,5,2026-04-19 12:36:36,bagus sekali
Pengguna Google,5,2026-04-19 12:35:39,mudah dan cepat
Pengguna Google,1,2026-04-19 12:29:16,sulit dpt drever krn go hemat
Pengguna Google,5,2026-04-19 12:25:34,baik semua
Pengguna Google,5,2026-04-19 12:15:47,luar biasa pelayanan Memuaskan Konsumen
Pengguna Google,5,2026-04-19 12:12:07,"sangat"" membantu"
Pengguna Google,5,2026-04-19 12:00:02,gojek terbaij
Pengguna Google,5,2026-04-19 11:58:15,sangat mudah dan membantu. terimakasih gojek
Pengguna Google,1,2026-04-19 11:44:35,aplikasi tolol
Pengguna Google,1,2026-04-19 11:40:43,"saya menyerah menggunakan aplikasi ini. driver yang saya dapatkan selalu jauh atau tidak dapat dihubungi. saya selalu terpaksa cancel driver dan itu membuat saya merasa bersalah.saat saya sudah mendapatkan driver lain, saya tiba"" diberikan driver lain sehingga saya harus cancel driver terbaru. harga yang diberikan karena kebanyakan cancel juga makin tinggi. tolong diperbaiki lagi sistemnya. saya lelah."
Pengguna Google,5,2026-04-19 11:31:35,tepat waktu
Pengguna Google,5,2026-04-19 11:15:23,good
Pengguna Google,5,2026-04-19 11:02:28,berguna
Pengguna Google,5,2026-04-19 10:24:30,super ngebantu pollll
Pengguna Google,5,2026-04-19 10:19:55,ok
Pengguna Google,2,2026-04-19 10:19:37,masa orderan makanan masuk tempat saya padahal saya diluar gojek ke kantor (ini orderan pemerasan ya)suruh bayar makanan tapi saya gak pesan
Pengguna Google,1,2026-04-19 09:58:43,"aplikasi tidak bisa membantu, sy download gopay plus selalu ditolak trus 😡😡😡😡😡😡😡"
Pengguna Google,5,2026-04-19 09:43:45,oke .. drunggu diskon2nya
Pengguna Google,5,2026-04-19 09:42:15,mantap
Pengguna Google,1,2026-04-19 09:40:18,"Kecewa banget sama aplikasi ini. menyediakan fitur game dengan hadiah koin, namun ga mau rugi malah user ga dikasih imbalan koinnya. Udah capek² main buang waktu buang kuota."
Pengguna Google,5,2026-04-19 09:27:09,mantap
Pengguna Google,5,2026-04-19 09:19:52,good operational
Pengguna Google,5,2026-04-19 09:01:45,"bagus, dan bermanfaat sekali"
Pengguna Google,5,2026-04-19 08:55:15,Baik
Pengguna Google,5,2026-04-19 08:54:34,mantaf azip yahud weded well pokonamaj
Pengguna Google,5,2026-04-19 08:01:36,good
Pengguna Google,5,2026-04-19 07:40:17,sangat memudahkan rakyat kalangan bawah untuk melakukan perjalanan harga nya juga murah banget
Pengguna Google,5,2026-04-19 07:39:31,ok
Pengguna Google,5,2026-04-19 07:31:30,banyak promo
Pengguna Google,5,2026-04-19 07:27:16,mantapp banget
Pengguna Google,4,2026-04-19 07:26:47,"Gocatnya eror min, gk bisa di kasih makan dan absen"
